"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.8cc0c1f8d2f3","annexes.a2.3_learning_outcomes|table_cell","Continually explore data ownership and privacy issues in relation to digital technological developments.","Blijf voortdurend onderzoek doen naar kwesties rond data-eigendom en privacy in relatie tot digitaal-technologische ontwikkelingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.76","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.53","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.183","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.d91ca6718562","annexes.a2.3_learning_outcomes|table_cell","LO4.2.22","LO4.2.22"
"doc.annexes.a2.3_learning_outcomes.table_cell.a37ab77d026e","annexes.a2.3_learning_outcomes|table_cell","Support others to understand their rights under current data protection and privacy legislation.","Ondersteun anderen om hun rechten te begrijpen onder de huidige wetgeving inzake gegevensbescherming en privacy."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.77","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.119","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.184","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.4cac65ed683e","annexes.a2.3_learning_outcomes|table_cell","LO4.2.23","LO4.2.23"
"doc.annexes.a2.3_learning_outcomes.table_cell.ad30b7eb8136","annexes.a2.3_learning_outcomes|table_cell","Assist others to implement basic strategies to protect personal data and manage privacy in digital environments.","Help anderen bij het implementeren van basisstrategieën om persoonlijke gegevens te beschermen en privacy te beheren in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.78","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.120","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.185","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.a696a5a2c374","annexes.a2.3_learning_outcomes|table_cell","LO4.2.24","LO4.2.24"
"doc.annexes.a2.3_learning_outcomes.table_cell.bc077edc510f","annexes.a2.3_learning_outcomes|table_cell","Stay informed about digital technological and legislative developments in relation to personal data, data ownership and privacy.","Blijf op de hoogte van digitaal-technologische en wettelijke ontwikkelingen met betrekking tot persoonlijke gegevens, data-eigendom en privacy."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.58","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.54","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.186","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.e25daa42ad02","annexes.a2.3_learning_outcomes|table_cell","LO4.2.25","LO4.2.25"
"doc.annexes.a2.3_learning_outcomes.table_cell.551f1f8dd9a6","annexes.a2.3_learning_outcomes|table_cell","Advise on policy or regulatory aspects of data protection and privacy in digital contexts.","Adviseer over beleidsmatige of regelgevende aspecten van gegevensbescherming en privacy in digitale contexten."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.59","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.121","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.187","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.1f06c3d8474c","annexes.a2.3_learning_outcomes|table_cell","LO4.2.26","LO4.2.26"
"doc.annexes.a2.3_learning_outcomes.table_cell.314aa96585d9","annexes.a2.3_learning_outcomes|table_cell","Lead or contribute to the design of personal data protection strategies in digital contexts.","Leid of draag bij aan het ontwerpen van strategieën voor de bescherming van persoonlijke gegevens in digitale contexten."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.60","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.122","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.188","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.d00cbee29061","annexes.a2.3_learning_outcomes|paragraph","COMPETENCE AREA 4: SAFETY, WELLBEING AND RESPONSIBLE USE - Competence 4.3 Supporting wellbeing","COMPETENTIEGEBIED 4: VEILIGHEID, WELZIJN EN VERANTWOORD GEBRUIK - Competentie 4.3 Welzijn ondersteunen"
"doc.annexes.a2.3_learning_outcomes.paragraph.dddde90bda26.10","annexes.a2.3_learning_outcomes|paragraph","Back to Section 3","Terug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.7f105e626849.10","annexes.a2.3_learning_outcomes|table_cell","ID","ID"
"doc.annexes.a2.3_learning_outcomes.table_cell.6b3e8b9eee21.10","annexes.a2.3_learning_outcomes|table_cell","Learning Outcome","Leerresultaat"
"doc.annexes.a2.3_learning_outcomes.table_cell.58455a4223da.10","annexes.a2.3_learning_outcomes|table_cell","Proficiency level","Niveau van bekwaamheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7749ae779807.10","annexes.a2.3_learning_outcomes|table_cell","Knowledge, skill or attitude","Kennis, vaardigheid of houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.37f41acb6b6e.10","annexes.a2.3_learning_outcomes|table_cell","AI label","AI-label"
"doc.annexes.a2.3_learning_outcomes.table_cell.e3c51f488047","annexes.a2.3_learning_outcomes|table_cell","LO4.3.01","LO4.3.01"
"doc.annexes.a2.3_learning_outcomes.table_cell.9f7413ce7338","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the benefits of balancing online and offline activities.","Erken de voordelen van een balans tussen online en offline activiteiten."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.66","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.55","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.64","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.bfa0aba3c86e","annexes.a2.3_learning_outcomes|table_cell","LO4.3.02","LO4.3.02"
"doc.annexes.a2.3_learning_outcomes.table_cell.a38559ab7a05","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the importance of daily routines that minimise digital stress and promote social connection.","Erken het belang van dagelijkse routines die digitale stress minimaliseren en sociale verbinding bevorderen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.67","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.56","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.65","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.039209d1c9a4","annexes.a2.3_learning_outcomes|table_cell","LO4.3.03","LO4.3.03"
"doc.annexes.a2.3_learning_outcomes.table_cell.032581f19915","annexes.a2.3_learning_outcomes|table_cell","Identify main risks and benefits to physical, mental and social wellbeing in digital environments.","Identificeer de belangrijkste risico's en voordelen voor fysiek, mentaal en sociaal welzijn in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.68","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.128","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.189","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.03b81408f0cf","annexes.a2.3_learning_outcomes|table_cell","LO4.3.04","LO4.3.04"
"doc.annexes.a2.3_learning_outcomes.table_cell.66d3f4658cbd","annexes.a2.3_learning_outcomes|table_cell","Recognise that there is a variety of information, groups and communities in digital environments that can support one’s physical, mental and/or social wellbeing.","Herken dat er een verscheidenheid aan informatie, groepen en gemeenschappen in digitale omgevingen is die het fysieke, mentale en/of sociale welzijn kunnen ondersteunen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.69","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.129","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.190","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.b09e75d79a97","annexes.a2.3_learning_outcomes|table_cell","LO4.3.05","LO4.3.05"
"doc.annexes.a2.3_learning_outcomes.table_cell.084d20eeed5f","annexes.a2.3_learning_outcomes|table_cell","Recognise risks and benefits to one's own physical, mental and social wellbeing in digital environments.","Herken risico's en voordelen voor het eigen fysieke, mentale en sociale welzijn in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.70","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.130","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.191","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.6a9db1df4617","annexes.a2.3_learning_outcomes|table_cell","LO4.3.06","LO4.3.06"
"doc.annexes.a2.3_learning_outcomes.table_cell.6352b56433dd","annexes.a2.3_learning_outcomes|table_cell","Identify features of digital platforms or services, such as social media, that are designed to capture and maintain individuals' attention.","Identificeer kenmerken van digitale platforms of diensten, zoals sociale media, die zijn ontworpen om de aandacht van individuen te trekken en vast te houden."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.71","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.131","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.192","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.b086a48a41a9","annexes.a2.3_learning_outcomes|table_cell","LO4.3.07","LO4.3.07"
"doc.annexes.a2.3_learning_outcomes.table_cell.4756be42e6f4","annexes.a2.3_learning_outcomes|table_cell","Identify limitations and risks of using virtual assistants and AI systems to support human wellbeing.","Identificeer beperkingen en risico's van het gebruik van virtuele assistenten en AI-systemen om het menselijk welzijn te ondersteunen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.72","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.132","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.54","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.1e4efbdc4b76","annexes.a2.3_learning_outcomes|table_cell","LO4.3.08","LO4.3.08"
"doc.annexes.a2.3_learning_outcomes.table_cell.db79d728623e","annexes.a2.3_learning_outcomes|table_cell","Identify strategies to support physical, mental and social wellbeing in digital environments.","Identificeer strategieën om het fysieke, mentale en sociale welzijn in digitale omgevingen te ondersteunen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.73","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.133","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.66","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.cf70e9d1285a","annexes.a2.3_learning_outcomes|table_cell","LO4.3.09","LO4.3.09"
"doc.annexes.a2.3_learning_outcomes.table_cell.3e5ace2ad9dd","annexes.a2.3_learning_outcomes|table_cell","Recognise signs and potential effects of problematic usage of digital technologies.","Herken tekenen en potentiële effecten van problematisch gebruik van digitale technologieën."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.74","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.134","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.67","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.6dc8977eb39f","annexes.a2.3_learning_outcomes|table_cell","LO4.3.10","LO4.3.10"
"doc.annexes.a2.3_learning_outcomes.table_cell.1c66271fe7e8","annexes.a2.3_learning_outcomes|table_cell","Recognise that there are laws and regulations that help protect the wellbeing of individuals in digital environments.","Erken dat er wetten en regels zijn die helpen het welzijn van individuen in digitale omgevingen te beschermen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.75","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.135","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.193","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.140c6626d0f0","annexes.a2.3_learning_outcomes|table_cell","LO4.3.11","LO4.3.11"
"doc.annexes.a2.3_learning_outcomes.table_cell.17c023ca0edd","annexes.a2.3_learning_outcomes|table_cell","Make a basic assessment of one's digital habits in relation to one’s physical, mental and social wellbeing.","Maak een basisbeoordeling van de eigen digitale gewoonten in relatie tot het fysieke, mentale en sociale welzijn."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.76","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.123","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.68","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.fac15dce4d6c","annexes.a2.3_learning_outcomes|table_cell","LO4.3.12","LO4.3.12"
"doc.annexes.a2.3_learning_outcomes.table_cell.ef7279072d67","annexes.a2.3_learning_outcomes|table_cell","Apply personalised strategies to support physical, mental and social wellbeing in digital environments.","Pas gepersonaliseerde strategieën toe om het fysieke, mentale en sociale welzijn in digitale omgevingen te ondersteunen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.77","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.124","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.69","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.12d3c5c7e6a6","annexes.a2.3_learning_outcomes|table_cell","LO4.3.13","LO4.3.13"
"doc.annexes.a2.3_learning_outcomes.table_cell.c4f24234251f","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the importance of one's own and others' right to disconnect.","Erken het belang van het eigen recht en dat van anderen om offline te zijn (recht om onbereikbaar te zijn)."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.101","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.57","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.70","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.af299ba7a67d","annexes.a2.3_learning_outcomes|paragraph","COMPETENCE AREA 4: SAFETY, WELLBEING AND RESPONSIBLE USE - Competence 4.4 Environmental impacts of digital technologies","COMPETENTIEGEBIED 4: VEILIGHEID, WELZIJN EN VERANTWOORD GEBRUIK - Competentie 4.4 Milieu-impact van digitale technologieën"
"doc.annexes.a2.3_learning_outcomes.paragraph.dddde90bda26.11","annexes.a2.3_learning_outcomes|paragraph","Back to Section 3","Terug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.paragraph.520deb76cd5c.2","annexes.a2.3_learning_outcomes|paragraph","Proficiency level","Niveau van bekwaamheid"
"doc.annexes.a2.3_learning_outcomes.paragraph.7e287d9b8b2e.2","annexes.a2.3_learning_outcomes|paragraph","Knowledge, skill or attitude","Kennis, vaardigheid of houding"
"doc.annexes.a2.3_learning_outcomes.paragraph.e41992cc3ebb.2","annexes.a2.3_learning_outcomes|paragraph","AI label","AI-label"
"doc.annexes.a2.3_learning_outcomes.paragraph.c7d57b19d70f","annexes.a2.3_learning_outcomes|paragraph","LO4.4.01 Acknowledge the role that individuals can play to help reduce the environmental impact of digital technologies.","LO4.4.01 Erken de rol die individuen kunnen spelen om de milieu-impact van digitale technologieën te helpen verminderen."
"doc.annexes.a2.3_learning_outcomes.paragraph.26d10e863070","annexes.a2.3_learning_outcomes|paragraph","LO4.4.02 Recognise that some digital technologies and infrastructures such as AI systems and data centres have large impacts on the environment.","LO4.4.02 Erken dat sommige digitale technologieën en infrastructuren, zoals AI-systemen en datacentra, een grote impact hebben op het milieu."
"doc.annexes.a2.3_learning_outcomes.paragraph.50f1e0a9c7e6","annexes.a2.3_learning_outcomes|paragraph","LO4.4.03 Recognise that the full environmental impacts of digital technologies are not immediately apparent to an individual user.","LO4.4.03 Erken dat de volledige milieu-impact van digitale technologieën niet onmiddellijk zichtbaar is voor een individuele gebruiker."
"doc.annexes.a2.3_learning_outcomes.paragraph.a5e206d2ec2b.1","annexes.a2.3_learning_outcomes|paragraph","Basic Attitude AI not Implicit or Explicit","Basis Houding AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.0f3ba04bf1ee.1","annexes.a2.3_learning_outcomes|paragraph","Basic Knowledge AI-Explicit","Basis Kennis AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.bf56dde6768a.2","annexes.a2.3_learning_outcomes|paragraph","Basic Knowledge AI-Implicit","Basis Kennis AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.755e0d14f468","annexes.a2.3_learning_outcomes|paragraph","LO4.4.04 Recognise that digital technologies can support energy efficiency and sustainability. Basic Knowledge AI-Implicit","LO4.4.04 Erken dat digitale technologieën energie-efficiëntie en duurzaamheid kunnen ondersteunen. Basis Kennis AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.ad71bc37faf2","annexes.a2.3_learning_outcomes|paragraph","LO4.4.05 Identify simple strategies to reduce energy and data consumption of digital technologies, such as minimising usage of energy-intensive applications and non-usage of digital technologies when not needed.","LO4.4.05 Identificeer eenvoudige strategieën om het energie- en dataverbruik van digitale technologieën te verminderen, zoals het minimaliseren van het gebruik van energie-intensieve toepassingen en het niet gebruiken van digitale technologieën wanneer deze niet nodig zijn."
"doc.annexes.a2.3_learning_outcomes.paragraph.fff1a9e47c23","annexes.a2.3_learning_outcomes|paragraph","LO4.4.06 Apply simple strategies to reduce energy and data consumption of digital technologies, such as minimising usage of energy-intensive applications and non-usage of digital technologies when not needed.","LO4.4.06 Pas eenvoudige strategieën toe om het energie- en dataverbruik van digitale technologieën te verminderen, zoals het minimaliseren van het gebruik van energie-intensieve toepassingen en het niet gebruiken van digitale technologieën wanneer deze niet nodig zijn."
"doc.annexes.a2.3_learning_outcomes.paragraph.bf56dde6768a.3","annexes.a2.3_learning_outcomes|paragraph","Basic Knowledge AI-Implicit","Basis Kennis AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.acdf60445d79","annexes.a2.3_learning_outcomes|paragraph","Basic Skill AI-Implicit","Basis Vaardigheid AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.c1a747afcb16","annexes.a2.3_learning_outcomes|paragraph","LO4.4.07 Continually assess the environmental impacts of one's usage of digital technologies. Intermediate Attitude AI-Implicit LO4.4.08 Identify environmental impacts of digital technologies that occur during manufacturing, usage and disposal. Intermediate Knowledge AI-Implicit LO4.4.09 Describe environmental impacts of data centres and e-commerce. Intermediate Knowledge AI-Implicit","LO4.4.07 Beoordeel voortdurend de milieu-impact van het eigen gebruik van digitale technologieën. Gemiddelde Houding AI-Impliciet LO4.4.08 Identificeer milieu-impacts van digitale technologieën die optreden tijdens de productie, het gebruik en de verwijdering. Gemiddelde Kennis AI-Impliciet LO4.4.09 Beschrijf de milieu-impact van datacentra en e-commerce. Gemiddelde Kennis AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.0064d79040a9","annexes.a2.3_learning_outcomes|paragraph","LO4.4.10 Describe examples of how digital tools can support sustainable living. Intermediate Knowledge AI-Implicit","LO4.4.10 Beschrijf voorbeelden van hoe digitale hulpmiddelen een duurzame levensstijl kunnen ondersteunen. Gemiddelde Kennis AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.7fd130b2fc43","annexes.a2.3_learning_outcomes|paragraph","LO4.4.11 Define the concepts of sharing economy and circular economy, including risks, limitations and potential environmental benefits.","LO4.4.11 Definieer de concepten deeleconomie en circulaire economie, inclusief risico's, beperkingen en potentiële milieuvoordelen."
"doc.annexes.a2.3_learning_outcomes.paragraph.8283c860decc","annexes.a2.3_learning_outcomes|paragraph","Apply a variety of strategies to reduce the environmental impact of one's use of digital technologies","Pas een verscheidenheid aan strategieën toe om de milieu-impact van het eigen gebruik van digitale technologieën te verminderen"
"doc.annexes.a2.3_learning_outcomes.paragraph.5ae996e0d761.1","annexes.a2.3_learning_outcomes|paragraph","Intermediate Knowledge AI not Implicit or Explicit","Gemiddelde Kennis AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.0fd8efd4f3c9","annexes.a2.3_learning_outcomes|paragraph","LO4.4.12","LO4.4.12"
"doc.annexes.a2.3_learning_outcomes.paragraph.45100b90e4dc","annexes.a2.3_learning_outcomes|paragraph","and digital devices, such as informed digital device purchasing decisions, device recycling and repair, environmentally conscious e-commerce practices, and environmentally conscious usage patterns.","en digitale apparaten, zoals weloverwogen beslissingen bij de aankoop van digitale apparaten, recycling en reparatie van apparaten, milieubewuste e-commercepraktijken en milieubewuste gebruikspatronen."
"doc.annexes.a2.3_learning_outcomes.paragraph.3b7b6232c462","annexes.a2.3_learning_outcomes|paragraph","Intermediate Skill AI-Implicit","Gemiddelde Vaardigheid AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.3da230d99c02","annexes.a2.3_learning_outcomes|paragraph","LO4.4.13 Stay informed about the environmental impacts of digital technologies and ways in which digital technologies can support sustainability.","LO4.4.13 Blijf op de hoogte van de milieu-impact van digitale technologieën en de manieren waarop digitale technologieën duurzaamheid kunnen ondersteunen."
"doc.annexes.a2.3_learning_outcomes.paragraph.ad6e67b196cd","annexes.a2.3_learning_outcomes|paragraph","LO4.4.14 Evaluate the environmental impacts of digital technologies and infrastructures to support decision-making or advocacy.","LO4.4.14 Evalueer de milieu-impact van digitale technologieën en infrastructuren ter ondersteuning van besluitvorming of belangenbehartiging."
"doc.annexes.a2.3_learning_outcomes.paragraph.986b4df09d02","annexes.a2.3_learning_outcomes|paragraph","Advanced Attitude AI-Implicit","Gevorderde Houding AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.23f3d24da0a3","annexes.a2.3_learning_outcomes|paragraph","Advanced Skill AI-Implicit","Gevorderde Vaardigheid AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.133ef0c39d8d","annexes.a2.3_learning_outcomes|paragraph","LO4.4.15 Help others to assess their use of digital technologies to identify ways in which to reduce environmental impact. Advanced Skill AI-Implicit","LO4.4.15 Help anderen om hun gebruik van digitale technologieën te beoordelen om manieren te identificeren om de milieu-impact te verminderen. Gevorderde Vaardigheid AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.be50aa9d379c","annexes.a2.3_learning_outcomes|paragraph","LO4.4.16 Stay informed about the environmental and sustainability implications of digital technologies across a range of sectors.","LO4.4.16 Blijf op de hoogte van de implicaties voor milieu en duurzaamheid van digitale technologieën in verschillende sectoren."
"doc.annexes.a2.3_learning_outcomes.paragraph.cd80a7aebbfe","annexes.a2.3_learning_outcomes|paragraph","Highly advanced Attitude AI-Implicit","Zeer gevorderde Houding AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.86e0855bd07a","annexes.a2.3_learning_outcomes|table_cell","LO4.4.17","LO4.4.17"
"doc.annexes.a2.3_learning_outcomes.table_cell.220f0304ca9c","annexes.a2.3_learning_outcomes|table_cell","Promote and support actions for environmentally sustainable usage of digital technologies.","Bevorder en ondersteun acties voor milieuvriendelijk gebruik van digitale technologieën."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.61","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.58","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.194","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.d790e1421b7a","annexes.a2.3_learning_outcomes|table_cell","LO4.4.18","LO4.4.18"
"doc.annexes.a2.3_learning_outcomes.table_cell.354c06424beb","annexes.a2.3_learning_outcomes|table_cell","Lead or contribute to digital sustainability initiatives.","Leid of draag bij aan initiatieven voor digitale duurzaamheid."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.62","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.125","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
