location,context,source,target
digcomp.outcome.2.1.intermediate.k.17,digcomp.outcome.2.1.intermediate.k.17,Define examples of how humans can interact with robots.,
digcomp.outcome.2.1.intermediate.k.17.ai_label,digcomp.outcome.2.1.intermediate.k.17.ai_label,AI-Implicit,
digcomp.outcome.2.1.intermediate.k.18,digcomp.outcome.2.1.intermediate.k.18,Recognise that robots can operate with varying degrees of autonomy.,
digcomp.outcome.2.1.intermediate.k.18.ai_label,digcomp.outcome.2.1.intermediate.k.18.ai_label,AI-Implicit,
digcomp.outcome.2.1.intermediate.s.19,digcomp.outcome.2.1.intermediate.s.19,"Select suitable communication means and tools, considering digital and non-digital options, for a given context or purpose.",
digcomp.outcome.2.1.intermediate.s.19.ai_label,digcomp.outcome.2.1.intermediate.s.19.ai_label,AI-Implicit,
digcomp.outcome.2.1.intermediate.s.20,digcomp.outcome.2.1.intermediate.s.20,"Develop and refine questions, commands or statements (prompts) for virtual assistants (chatbots) and AI systems to support non-complex digital interactions.",
digcomp.outcome.2.1.intermediate.s.20.ai_label,digcomp.outcome.2.1.intermediate.s.20.ai_label,AI-Explicit,
digcomp.outcome.2.1.intermediate.s.21,digcomp.outcome.2.1.intermediate.s.21,"Use multiple features of a variety of digital communication tools to interact with and manage individuals, groups and channels.",
digcomp.outcome.2.1.intermediate.s.21.ai_label,digcomp.outcome.2.1.intermediate.s.21.ai_label,AI-Implicit,
digcomp.outcome.2.1.advanced.a.22,digcomp.outcome.2.1.advanced.a.22,Continually adapt communication in digital environments in response to a variety of contexts.,
digcomp.outcome.2.1.advanced.a.22.ai_label,digcomp.outcome.2.1.advanced.a.22.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.1.advanced.s.23,digcomp.outcome.2.1.advanced.s.23,Combine digital communication tools and methods for complex communication tasks.,
digcomp.outcome.2.1.advanced.s.23.ai_label,digcomp.outcome.2.1.advanced.s.23.ai_label,AI-Implicit,
digcomp.outcome.2.1.advanced.s.24,digcomp.outcome.2.1.advanced.s.24,"Systematically develop and progressively refine questions, commands or statements (prompts) for AI systems to handle complex digital interactions.",
digcomp.outcome.2.1.advanced.s.24.ai_label,digcomp.outcome.2.1.advanced.s.24.ai_label,AI-Explicit,
digcomp.outcome.2.1.advanced.s.25,digcomp.outcome.2.1.advanced.s.25,Assess benefits and disadvantages of robotic applications in a specific context.,
digcomp.outcome.2.1.advanced.s.25.ai_label,digcomp.outcome.2.1.advanced.s.25.ai_label,AI-Implicit,
digcomp.outcome.2.1.advanced.s.26,digcomp.outcome.2.1.advanced.s.26,Assist others to assess and select suitable digital communication tools for a given purpose.,
digcomp.outcome.2.1.advanced.s.26.ai_label,digcomp.outcome.2.1.advanced.s.26.ai_label,AI-Implicit,
digcomp.outcome.2.1.advanced.s.27,digcomp.outcome.2.1.advanced.s.27,Organise and/or moderate complex digital events.,
digcomp.outcome.2.1.advanced.s.27.ai_label,digcomp.outcome.2.1.advanced.s.27.ai_label,AI-Implicit,
digcomp.outcome.2.1.highly_advanced.a.28,digcomp.outcome.2.1.highly_advanced.a.28,Stay informed about developments in digital communication and interaction tools and methods.,
digcomp.outcome.2.1.highly_advanced.a.28.ai_label,digcomp.outcome.2.1.highly_advanced.a.28.ai_label,AI-Implicit,
digcomp.outcome.2.1.highly_advanced.s.29,digcomp.outcome.2.1.highly_advanced.s.29,Assess and combine digital communication and interaction tools for highly complex or novel tasks.,
digcomp.outcome.2.1.highly_advanced.s.29.ai_label,digcomp.outcome.2.1.highly_advanced.s.29.ai_label,AI-Implicit,
digcomp.outcome.2.1.highly_advanced.s.30,digcomp.outcome.2.1.highly_advanced.s.30,"Provide guidance, support or leadership in the advanced use of digital communication and interaction tools.",
digcomp.outcome.2.1.highly_advanced.s.30.ai_label,digcomp.outcome.2.1.highly_advanced.s.30.ai_label,AI-Implicit,
digcomp.outcome.2.1.highly_advanced.s.31,digcomp.outcome.2.1.highly_advanced.s.31,Lead or contribute to improvements in or new solutions for digital communication or human-machine interaction.,
digcomp.outcome.2.1.highly_advanced.s.31.ai_label,digcomp.outcome.2.1.highly_advanced.s.31.ai_label,AI-Implicit,
digcomp.outcome.2.2.basic.a.01,digcomp.outcome.2.2.basic.a.01,Acknowledge the importance of ethical and responsible sharing of information and content in digital environments.,
digcomp.outcome.2.2.basic.a.01.ai_label,digcomp.outcome.2.2.basic.a.01.ai_label,AI-Implicit,
digcomp.outcome.2.2.basic.k.02,digcomp.outcome.2.2.basic.k.02,Recognise benefits and risks of sharing information and content in digital environment.,
digcomp.outcome.2.2.basic.k.02.ai_label,digcomp.outcome.2.2.basic.k.02.ai_label,AI-Implicit,
digcomp.outcome.2.2.basic.k.03,digcomp.outcome.2.2.basic.k.03,"Identify functions and uses of social media, and examples of common social media platforms.",
digcomp.outcome.2.2.basic.k.03.ai_label,digcomp.outcome.2.2.basic.k.03.ai_label,AI-Implicit,
digcomp.outcome.2.2.basic.k.04,digcomp.outcome.2.2.basic.k.04,Recognise that individuals can choose how and what they would like to share through digital technologies.,
digcomp.outcome.2.2.basic.k.04.ai_label,digcomp.outcome.2.2.basic.k.04.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.2.basic.k.05,digcomp.outcome.2.2.basic.k.05,Recognise that information and content - not all of which is true or accurate - can be shared in a variety of ways by AI systems as well as humans.,
digcomp.outcome.2.2.basic.k.05.ai_label,digcomp.outcome.2.2.basic.k.05.ai_label,AI-Explicit,
digcomp.outcome.2.2.basic.k.06,digcomp.outcome.2.2.basic.k.06,Identify purpose and target audience of information and content to be shared in digital environments.,
digcomp.outcome.2.2.basic.k.06.ai_label,digcomp.outcome.2.2.basic.k.06.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.2.basic.s.07,digcomp.outcome.2.2.basic.s.07,Use simple processes to share information and content in digital environments appropriately and in accordance with goals.,
digcomp.outcome.2.2.basic.s.07.ai_label,digcomp.outcome.2.2.basic.s.07.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.2.intermediate.a.08,digcomp.outcome.2.2.intermediate.a.08,Acknowledge the importance of assessing the value and accuracy of information and content prior to sharing it in digital environments.,
digcomp.outcome.2.2.intermediate.a.08.ai_label,digcomp.outcome.2.2.intermediate.a.08.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.2.intermediate.k.09,digcomp.outcome.2.2.intermediate.k.09,Define responsibilities associated with sharing information and content in digital environments.,
digcomp.outcome.2.2.intermediate.k.09.ai_label,digcomp.outcome.2.2.intermediate.k.09.ai_label,AI-Implicit,
digcomp.outcome.2.2.intermediate.k.10,digcomp.outcome.2.2.intermediate.k.10,Describe effective and ethical ways to share information and content in a variety of digital environments.,
digcomp.outcome.2.2.intermediate.k.10.ai_label,digcomp.outcome.2.2.intermediate.k.10.ai_label,AI-Implicit,
digcomp.outcome.2.2.intermediate.s.11,digcomp.outcome.2.2.intermediate.s.11,"Assess potential risks, benefits and ethical considerations of sharing information and content in a variety of digital environments.",
digcomp.outcome.2.2.intermediate.s.11.ai_label,digcomp.outcome.2.2.intermediate.s.11.ai_label,AI-Implicit,
digcomp.outcome.2.2.intermediate.s.12,digcomp.outcome.2.2.intermediate.s.12,Effectively and ethically share information and content in a variety of digital environments.,
digcomp.outcome.2.2.intermediate.s.12.ai_label,digcomp.outcome.2.2.intermediate.s.12.ai_label,AI-Implicit,
digcomp.outcome.2.2.intermediate.s.13,digcomp.outcome.2.2.intermediate.s.13,Report or flag misinformation and disinformation that has been shared in digital environments.,
digcomp.outcome.2.2.intermediate.s.13.ai_label,digcomp.outcome.2.2.intermediate.s.13.ai_label,AI-Implicit,
digcomp.outcome.2.2.advanced.a.14,digcomp.outcome.2.2.advanced.a.14,"Acknowledge the value of sharing digital information and content to assist others, such as through Open Educational Resources (OER).",
digcomp.outcome.2.2.advanced.a.14.ai_label,digcomp.outcome.2.2.advanced.a.14.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.2.advanced.s.15,digcomp.outcome.2.2.advanced.s.15,"Effectively and ethically share information and content in digital environments to support personal, learning or professional goals of oneself and others.",
digcomp.outcome.2.2.advanced.s.15.ai_label,digcomp.outcome.2.2.advanced.s.15.ai_label,AI-Implicit,
digcomp.outcome.2.2.advanced.s.16,digcomp.outcome.2.2.advanced.s.16,Advise others on effective and ethical ways to share information and content in digital environments.,
digcomp.outcome.2.2.advanced.s.16.ai_label,digcomp.outcome.2.2.advanced.s.16.ai_label,AI-Implicit,
digcomp.outcome.2.2.highly_advanced.a.17,digcomp.outcome.2.2.highly_advanced.a.17,Explore new and alternative means for complex sharing information and content in digital environments.,
digcomp.outcome.2.2.highly_advanced.a.17.ai_label,digcomp.outcome.2.2.highly_advanced.a.17.ai_label,AI-Implicit,
digcomp.outcome.2.2.highly_advanced.s.18,digcomp.outcome.2.2.highly_advanced.s.18,Facilitate complex sharing of information and content across a variety of digital technologies.,
digcomp.outcome.2.2.highly_advanced.s.18.ai_label,digcomp.outcome.2.2.highly_advanced.s.18.ai_label,AI-Implicit,
digcomp.outcome.2.2.highly_advanced.s.19,digcomp.outcome.2.2.highly_advanced.s.19,Contribute to complex or specialised initiatives for sharing information and content in digital environments.,
digcomp.outcome.2.2.highly_advanced.s.19.ai_label,digcomp.outcome.2.2.highly_advanced.s.19.ai_label,AI-Implicit,
digcomp.outcome.2.2.highly_advanced.s.20,digcomp.outcome.2.2.highly_advanced.s.20,Lead or contribute to improvements in or new solutions for sharing complex information and content in digital environments.,
digcomp.outcome.2.2.highly_advanced.s.20.ai_label,digcomp.outcome.2.2.highly_advanced.s.20.ai_label,AI-Implicit,
digcomp.outcome.2.3.basic.a.01,digcomp.outcome.2.3.basic.a.01,Acknowledge the potential benefits of digital technologies for one's own and others empowerment and participation.,
digcomp.outcome.2.3.basic.a.01.ai_label,digcomp.outcome.2.3.basic.a.01.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.3.basic.k.02,digcomp.outcome.2.3.basic.k.02,Recognise digital citizenship as the ability to participate actively and responsibly in communities through engagement with digital technologies.,
digcomp.outcome.2.3.basic.k.02.ai_label,digcomp.outcome.2.3.basic.k.02.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.3.basic.k.03,digcomp.outcome.2.3.basic.k.03,Identify examples of civic participation in digital environments.,
digcomp.outcome.2.3.basic.k.03.ai_label,digcomp.outcome.2.3.basic.k.03.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.3.basic.k.04,digcomp.outcome.2.3.basic.k.04,Recognise that digital technologies - including difficulties in accessing them - can exclude certain groups or individuals.,
digcomp.outcome.2.3.basic.k.04.ai_label,digcomp.outcome.2.3.basic.k.04.ai_label,AI-Implicit,
digcomp.outcome.2.3.basic.k.05,digcomp.outcome.2.3.basic.k.05,Recognise that there are laws and regulations to protect the rights of users of digital platforms and services.,
digcomp.outcome.2.3.basic.k.05.ai_label,digcomp.outcome.2.3.basic.k.05.ai_label,AI-Implicit,
digcomp.outcome.2.3.basic.k.06,digcomp.outcome.2.3.basic.k.06,Identify main purposes and functions of (personally relevant) digital platforms and services.,
digcomp.outcome.2.3.basic.k.06.ai_label,digcomp.outcome.2.3.basic.k.06.ai_label,AI-Implicit,
digcomp.outcome.2.3.basic.k.07,digcomp.outcome.2.3.basic.k.07,Recognise that individuals can play an active role in reviewing or improving online products and services.,
digcomp.outcome.2.3.basic.k.07.ai_label,digcomp.outcome.2.3.basic.k.07.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.3.basic.s.08,digcomp.outcome.2.3.basic.s.08,Use digital tools to search for and find communities for civic participation on issues of interest.,
digcomp.outcome.2.3.basic.s.08.ai_label,digcomp.outcome.2.3.basic.s.08.ai_label,AI-Implicit,
digcomp.outcome.2.3.basic.s.09,digcomp.outcome.2.3.basic.s.09,"Use (personally relevant) digital platforms and services, seeking assistance as needed.",
digcomp.outcome.2.3.basic.s.09.ai_label,digcomp.outcome.2.3.basic.s.09.ai_label,AI-Implicit,
digcomp.outcome.2.3.intermediate.a.10,digcomp.outcome.2.3.intermediate.a.10,Prioritise the exploration of ways that digital technologies can enhance one's civic and societal participation.,
digcomp.outcome.2.3.intermediate.a.10.ai_label,digcomp.outcome.2.3.intermediate.a.10.ai_label,AI-Implicit,
digcomp.outcome.2.3.intermediate.a.11,digcomp.outcome.2.3.intermediate.a.11,Acknowledge the importance of identifying excluded or marginalised people and groups in digital environments.,
digcomp.outcome.2.3.intermediate.a.11.ai_label,digcomp.outcome.2.3.intermediate.a.11.ai_label,AI-Implicit,
digcomp.outcome.2.3.intermediate.a.12,digcomp.outcome.2.3.intermediate.a.12,Participate in discussions on digital citizenship topics.,
digcomp.outcome.2.3.intermediate.a.12.ai_label,digcomp.outcome.2.3.intermediate.a.12.ai_label,AI-Implicit,
digcomp.outcome.2.3.intermediate.k.13,digcomp.outcome.2.3.intermediate.k.13,Recognise that digital participation is the active involvement in society through the use of digital technologies.,
digcomp.outcome.2.3.intermediate.k.13.ai_label,digcomp.outcome.2.3.intermediate.k.13.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.3.intermediate.k.14,digcomp.outcome.2.3.intermediate.k.14,Recognise that civic participation occurs along a continuum.,
digcomp.outcome.2.3.intermediate.k.14.ai_label,digcomp.outcome.2.3.intermediate.k.14.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.3.intermediate.k.15,digcomp.outcome.2.3.intermediate.k.15,"Recognise key freedoms, rights and responsibilities of individuals under relevant digital laws and regulations.",
digcomp.outcome.2.3.intermediate.k.15.ai_label,digcomp.outcome.2.3.intermediate.k.15.ai_label,AI-Implicit,
digcomp.outcome.2.3.intermediate.k.16,digcomp.outcome.2.3.intermediate.k.16,Define how to exercise key rights in digital environments.,
digcomp.outcome.2.3.intermediate.k.16.ai_label,digcomp.outcome.2.3.intermediate.k.16.ai_label,AI-Implicit,
digcomp.outcome.2.3.intermediate.k.17,digcomp.outcome.2.3.intermediate.k.17,"Describe the concept of the platform economy, including opportunities, risks, social and ethical implications.",
digcomp.outcome.2.3.intermediate.k.17.ai_label,digcomp.outcome.2.3.intermediate.k.17.ai_label,AI-Implicit,
digcomp.outcome.2.3.intermediate.k.18,digcomp.outcome.2.3.intermediate.k.18,Describe the concept and functions of civic monitoring.,
digcomp.outcome.2.3.intermediate.k.18.ai_label,digcomp.outcome.2.3.intermediate.k.18.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.3.intermediate.k.19,digcomp.outcome.2.3.intermediate.k.19,Describe the concept and functions of e-Government.,
digcomp.outcome.2.3.intermediate.k.19.ai_label,digcomp.outcome.2.3.intermediate.k.19.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.3.intermediate.k.20,digcomp.outcome.2.3.intermediate.k.20,"Describe how digital technologies such as social media platforms can influence some aspects of basic democracy (for example, distortion of the electoral process).",
digcomp.outcome.2.3.intermediate.k.20.ai_label,digcomp.outcome.2.3.intermediate.k.20.ai_label,AI-Implicit,
digcomp.outcome.2.3.intermediate.s.21,digcomp.outcome.2.3.intermediate.s.21,Interact autonomously and effectively with digital platforms and services.,
digcomp.outcome.2.3.intermediate.s.21.ai_label,digcomp.outcome.2.3.intermediate.s.21.ai_label,AI-Implicit,
digcomp.outcome.2.3.intermediate.s.22,digcomp.outcome.2.3.intermediate.s.22,"Assess opportunities, risks, social and ethical implications of the platform economy.",
digcomp.outcome.2.3.intermediate.s.22.ai_label,digcomp.outcome.2.3.intermediate.s.22.ai_label,AI-Implicit,
digcomp.outcome.2.3.advanced.a.23,digcomp.outcome.2.3.advanced.a.23,Prioritise the continual exploration of ways in which digital technologies can support empowerment or civic participation.,
digcomp.outcome.2.3.advanced.a.23.ai_label,digcomp.outcome.2.3.advanced.a.23.ai_label,AI-Implicit,
digcomp.outcome.2.3.advanced.a.24,digcomp.outcome.2.3.advanced.a.24,"Participate in discussions on digital technologies' ethical, political and social implications.",
digcomp.outcome.2.3.advanced.a.24.ai_label,digcomp.outcome.2.3.advanced.a.24.ai_label,AI-Implicit,
digcomp.outcome.2.3.advanced.k.25,digcomp.outcome.2.3.advanced.k.25,Distinguish between high-risk and prohibited AI systems (according to legislation).,
digcomp.outcome.2.3.advanced.k.25.ai_label,digcomp.outcome.2.3.advanced.k.25.ai_label,AI-Explicit,
digcomp.outcome.2.3.advanced.k.26,digcomp.outcome.2.3.advanced.k.26,"Describe potential societal, political or economic impacts of prohibited and high-risk AI systems.",
digcomp.outcome.2.3.advanced.k.26.ai_label,digcomp.outcome.2.3.advanced.k.26.ai_label,AI-Explicit,
digcomp.outcome.2.3.advanced.s.27,digcomp.outcome.2.3.advanced.s.27,"Assess the potential of digital technologies for inclusion, exclusion, and civic intervention in a given context.",
digcomp.outcome.2.3.advanced.s.27.ai_label,digcomp.outcome.2.3.advanced.s.27.ai_label,AI-Implicit,
digcomp.outcome.2.3.advanced.s.28,digcomp.outcome.2.3.advanced.s.28,Assess a range of ways in which digital technologies such as social media platforms can influence democratic processes.,
digcomp.outcome.2.3.advanced.s.28.ai_label,digcomp.outcome.2.3.advanced.s.28.ai_label,AI-Implicit,
digcomp.outcome.2.3.advanced.s.29,digcomp.outcome.2.3.advanced.s.29,Assist others to identify opportunities and participate in digital environments for (self or community) empowerment and participation.,
digcomp.outcome.2.3.advanced.s.29.ai_label,digcomp.outcome.2.3.advanced.s.29.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.3.advanced.s.30,digcomp.outcome.2.3.advanced.s.30,Support others to inform themselves about and exercise their rights under digital legislation.,
digcomp.outcome.2.3.advanced.s.30.ai_label,digcomp.outcome.2.3.advanced.s.30.ai_label,AI-Implicit,
digcomp.outcome.2.3.highly_advanced.a.31,digcomp.outcome.2.3.highly_advanced.a.31,"Stay informed about individuals' freedoms, rights and responsibilities with evolving digital technologies and legislative developments.",
digcomp.outcome.2.3.highly_advanced.a.31.ai_label,digcomp.outcome.2.3.highly_advanced.a.31.ai_label,AI-Implicit,
digcomp.outcome.2.3.highly_advanced.s.32,digcomp.outcome.2.3.highly_advanced.s.32,"Evaluate multiple impacts of digital technologies on society, political processes or the economy from a range of perspectives.",
digcomp.outcome.2.3.highly_advanced.s.32.ai_label,digcomp.outcome.2.3.highly_advanced.s.32.ai_label,AI-Implicit,
digcomp.outcome.2.3.highly_advanced.s.33,digcomp.outcome.2.3.highly_advanced.s.33,"Assist others to comprehend the main provisions of digital legislation, given a specific context.",
digcomp.outcome.2.3.highly_advanced.s.33.ai_label,digcomp.outcome.2.3.highly_advanced.s.33.ai_label,AI-Implicit,
digcomp.outcome.2.3.highly_advanced.s.34,digcomp.outcome.2.3.highly_advanced.s.34,"Lead or design digital citizenship initiatives, for example to promote participation, inclusion or empowerment.",
digcomp.outcome.2.3.highly_advanced.s.34.ai_label,digcomp.outcome.2.3.highly_advanced.s.34.ai_label,AI-Implicit,
digcomp.outcome.2.4.basic.a.01,digcomp.outcome.2.4.basic.a.01,Acknowledge the importance of effective communication skills for successful collaboration in digital environments.,
digcomp.outcome.2.4.basic.a.01.ai_label,digcomp.outcome.2.4.basic.a.01.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.4.basic.k.02,digcomp.outcome.2.4.basic.k.02,Recognise main benefits and limitations of digital collaboration tools.,
digcomp.outcome.2.4.basic.k.02.ai_label,digcomp.outcome.2.4.basic.k.02.ai_label,AI-Implicit,
digcomp.outcome.2.4.basic.k.03,digcomp.outcome.2.4.basic.k.03,Recognise the presence of AI systems in digital collaboration tools.,
digcomp.outcome.2.4.basic.k.03.ai_label,digcomp.outcome.2.4.basic.k.03.ai_label,AI-Explicit,
digcomp.outcome.2.4.basic.s.04,digcomp.outcome.2.4.basic.s.04,Participate in collaborative groups via digital collaboration tools.,
digcomp.outcome.2.4.basic.s.04.ai_label,digcomp.outcome.2.4.basic.s.04.ai_label,AI-Implicit,
digcomp.outcome.2.4.intermediate.a.05,digcomp.outcome.2.4.intermediate.a.05,Take account of different perspectives to help achieve a common goal in digital environments.,
digcomp.outcome.2.4.intermediate.a.05.ai_label,digcomp.outcome.2.4.intermediate.a.05.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.4.intermediate.k.06,digcomp.outcome.2.4.intermediate.k.06,Identify main features and functions of a variety of digital collaboration tools.,
digcomp.outcome.2.4.intermediate.k.06.ai_label,digcomp.outcome.2.4.intermediate.k.06.ai_label,AI-Implicit,
digcomp.outcome.2.4.intermediate.k.07,digcomp.outcome.2.4.intermediate.k.07,"Recognise the functions, benefits and limitations of AI system functionalities in some digital collaboration tools.",
digcomp.outcome.2.4.intermediate.k.07.ai_label,digcomp.outcome.2.4.intermediate.k.07.ai_label,AI-Explicit,
digcomp.outcome.2.4.intermediate.k.08,digcomp.outcome.2.4.intermediate.k.08,"Identify examples of ethical, responsible and effective human-AI collaboration.",
digcomp.outcome.2.4.intermediate.k.08.ai_label,digcomp.outcome.2.4.intermediate.k.08.ai_label,AI-Explicit,
digcomp.outcome.2.4.intermediate.s.09,digcomp.outcome.2.4.intermediate.s.09,Select digital collaboration tools that meet collaboration goals.,
digcomp.outcome.2.4.intermediate.s.09.ai_label,digcomp.outcome.2.4.intermediate.s.09.ai_label,AI-Implicit,
digcomp.outcome.2.4.intermediate.s.10,digcomp.outcome.2.4.intermediate.s.10,Create and manage simple collaborative tasks using digital collaboration tools.,
digcomp.outcome.2.4.intermediate.s.10.ai_label,digcomp.outcome.2.4.intermediate.s.10.ai_label,AI-Implicit,
digcomp.outcome.2.4.intermediate.s.11,digcomp.outcome.2.4.intermediate.s.11,Contribute effectively to simple collaborative tasks in digital environments.,
digcomp.outcome.2.4.intermediate.s.11.ai_label,digcomp.outcome.2.4.intermediate.s.11.ai_label,AI-Implicit,
digcomp.outcome.2.4.advanced.a.12,digcomp.outcome.2.4.advanced.a.12,Prioritise a good fit between how digital collaboration tools are used and the preferences of individuals involved in collaboration.,
digcomp.outcome.2.4.advanced.a.12.ai_label,digcomp.outcome.2.4.advanced.a.12.ai_label,AI-Implicit,
digcomp.outcome.2.4.advanced.a.13,digcomp.outcome.2.4.advanced.a.13,Ensure appropriate and ethical use of digital technologies including AI systems for collaborative tasks.,
digcomp.outcome.2.4.advanced.a.13.ai_label,digcomp.outcome.2.4.advanced.a.13.ai_label,AI-Explicit,
digcomp.outcome.2.4.advanced.s.14,digcomp.outcome.2.4.advanced.s.14,"Use and combine a variety of digital collaboration tools that meet the needs of projects, tasks and groups.",
digcomp.outcome.2.4.advanced.s.14.ai_label,digcomp.outcome.2.4.advanced.s.14.ai_label,AI-Implicit,
digcomp.outcome.2.4.advanced.s.15,digcomp.outcome.2.4.advanced.s.15,Help others to develop their capabilities to collaborate in digital environments.,
digcomp.outcome.2.4.advanced.s.15.ai_label,digcomp.outcome.2.4.advanced.s.15.ai_label,AI-Implicit,
digcomp.outcome.2.4.advanced.s.16,digcomp.outcome.2.4.advanced.s.16,Assess ethical and practical aspects of human-AI collaboration techniques for a given purpose.,
digcomp.outcome.2.4.advanced.s.16.ai_label,digcomp.outcome.2.4.advanced.s.16.ai_label,AI-Explicit,
digcomp.outcome.2.4.advanced.s.17,digcomp.outcome.2.4.advanced.s.17,Lead collaboration in digital environments.,
digcomp.outcome.2.4.advanced.s.17.ai_label,digcomp.outcome.2.4.advanced.s.17.ai_label,AI-Implicit,
digcomp.outcome.2.4.highly_advanced.a.18,digcomp.outcome.2.4.highly_advanced.a.18,Stay informed about developments in collaborative practices in digital environments.,
digcomp.outcome.2.4.highly_advanced.a.18.ai_label,digcomp.outcome.2.4.highly_advanced.a.18.ai_label,AI-Implicit,
digcomp.outcome.2.4.highly_advanced.a.19,digcomp.outcome.2.4.highly_advanced.a.19,"Promote and support proportionate, ethical and effective use of digital technologies, including AI systems, in collaborations.",
digcomp.outcome.2.4.highly_advanced.a.19.ai_label,digcomp.outcome.2.4.highly_advanced.a.19.ai_label,AI-Explicit,
digcomp.outcome.2.4.highly_advanced.s.20,digcomp.outcome.2.4.highly_advanced.s.20,Design complex or specialised strategies for collaboration in digital environments.,
digcomp.outcome.2.4.highly_advanced.s.20.ai_label,digcomp.outcome.2.4.highly_advanced.s.20.ai_label,AI-Implicit,
digcomp.outcome.2.4.highly_advanced.s.21,digcomp.outcome.2.4.highly_advanced.s.21,Assist others to develop capabilities to lead collaboration in digital environments.,
digcomp.outcome.2.4.highly_advanced.s.21.ai_label,digcomp.outcome.2.4.highly_advanced.s.21.ai_label,AI-Implicit,
digcomp.outcome.2.4.highly_advanced.s.22,digcomp.outcome.2.4.highly_advanced.s.22,Lead or contribute to improvements in or new solutions for human-AI collaboration.,
digcomp.outcome.2.4.highly_advanced.s.22.ai_label,digcomp.outcome.2.4.highly_advanced.s.22.ai_label,AI-Explicit,
digcomp.outcome.2.5.basic.a.01,digcomp.outcome.2.5.basic.a.01,Acknowledge the importance of giving space to the opinions of others in digital environments.,
digcomp.outcome.2.5.basic.a.01.ai_label,digcomp.outcome.2.5.basic.a.01.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.5.basic.k.02,digcomp.outcome.2.5.basic.k.02,Identify differences in verbal and non-verbal behaviours in digital and non-digital environments.,
digcomp.outcome.2.5.basic.k.02.ai_label,digcomp.outcome.2.5.basic.k.02.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.5.basic.k.03,digcomp.outcome.2.5.basic.k.03,Recognise that there are cultural and contextual differences in verbal and non-verbal communication in digital environments.,
digcomp.outcome.2.5.basic.k.03.ai_label,digcomp.outcome.2.5.basic.k.03.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.5.basic.k.04,digcomp.outcome.2.5.basic.k.04,"Recognise that some behaviour in digital environments may not be acceptable to others, and/or may have legal consequences.",
digcomp.outcome.2.5.basic.k.04.ai_label,digcomp.outcome.2.5.basic.k.04.ai_label,AI-Implicit,
digcomp.outcome.2.5.basic.s.05,digcomp.outcome.2.5.basic.s.05,Use appropriate tone and visual expression such as emoji in formal and non-formal digital environments.,
digcomp.outcome.2.5.basic.s.05.ai_label,digcomp.outcome.2.5.basic.s.05.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.5.intermediate.a.06,digcomp.outcome.2.5.intermediate.a.06,Prioritise digital behaviours that support inclusion and a positive digital reputation of oneself and others.,
digcomp.outcome.2.5.intermediate.a.06.ai_label,digcomp.outcome.2.5.intermediate.a.06.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.5.intermediate.k.07,digcomp.outcome.2.5.intermediate.k.07,Identify key rights and responsibilities of children and adults in relation to digital behaviour.,
digcomp.outcome.2.5.intermediate.k.07.ai_label,digcomp.outcome.2.5.intermediate.k.07.ai_label,AI-Implicit,
digcomp.outcome.2.5.intermediate.k.08,digcomp.outcome.2.5.intermediate.k.08,Describe the relationship between digital behaviour and digital reputation.,
digcomp.outcome.2.5.intermediate.k.08.ai_label,digcomp.outcome.2.5.intermediate.k.08.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.5.intermediate.k.09,digcomp.outcome.2.5.intermediate.k.09,Identify key rights and responsibilities of children and adults in relation to digital behaviour.,
digcomp.outcome.2.5.intermediate.k.09.ai_label,digcomp.outcome.2.5.intermediate.k.09.ai_label,AI-Implicit,
digcomp.outcome.2.5.intermediate.s.10,digcomp.outcome.2.5.intermediate.s.10,Use respectful and inclusive tone and visual expression such as emoji in formal and non-formal digital environments.,
digcomp.outcome.2.5.intermediate.s.10.ai_label,digcomp.outcome.2.5.intermediate.s.10.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.5.advanced.a.11,digcomp.outcome.2.5.advanced.a.11,Promote and support inclusive and respectful behaviour in digital environments.,
digcomp.outcome.2.5.advanced.a.11.ai_label,digcomp.outcome.2.5.advanced.a.11.ai_label,AI not Implicit or Explicit,
